iter	Passed	Remaining
0	3	3670
1	10	5155
2	15	5000
3	21	5361
4	28	5582
5	32	5400
6	37	5347
7	44	5463
8	49	5423
9	55	5477
10	59	5368
11	65	5366
12	70	5326
13	74	5253
14	79	5193
15	83	5154
16	88	5118
17	93	5086
18	97	5034
19	101	4993
20	106	4955
21	111	4937
22	118	5049
23	122	5000
24	127	4974
25	132	4956
26	136	4936
27	139	4843
28	143	4811
29	148	4788
30	152	4769
31	156	4748
32	161	4722
33	164	4667
34	168	4643
35	172	4632
36	176	4599
37	181	4590
38	186	4585
39	190	4573
40	195	4571
41	199	4556
42	204	4552
43	209	4543
44	211	4490
45	215	4475
46	220	4473
47	227	4504
48	231	4499
49	236	4491
50	240	4481
51	245	4478
52	251	4498
53	256	4496
54	261	4494
55	265	4478
56	270	4472
57	274	4465
58	279	4457
59	283	4441
60	288	4435
61	293	4432
62	298	4436
63	302	4427
64	307	4424
65	312	4421
66	317	4415
67	321	4405
68	325	4398
69	331	4406
70	335	4392
71	340	4390
72	345	4383
73	349	4376
74	354	4370
75	360	4381
76	365	4375
77	370	4380
78	376	4389
79	381	4391
80	387	4395
81	393	4403
82	397	4391
83	404	4405
84	409	4408
85	415	4413
86	421	4428
87	426	4420
88	431	4415
89	436	4413
90	440	4402
91	445	4394
92	450	4392
93	455	4388
94	460	4383
95	464	4375
96	470	4378
97	474	4371
98	479	4363
99	484	4359
100	488	4349
101	493	4343
102	497	4330
103	501	4322
104	506	4315
105	511	4309
106	516	4306
107	520	4298
108	524	4287
109	528	4275
110	533	4271
111	537	4261
112	541	4252
113	546	4245
114	550	4235
115	554	4226
116	558	4217
117	563	4210
118	567	4202
119	572	4195
120	576	4187
121	581	4184
122	586	4178
123	590	4172
124	595	4166
125	599	4158
126	603	4150
127	607	4140
128	612	4137
129	617	4129
130	621	4122
131	625	4114
132	630	4108
133	635	4104
134	639	4096
135	644	4091
136	648	4085
137	653	4080
138	657	4073
139	662	4070
140	666	4063
141	669	4043
142	673	4033
143	677	4029
144	683	4027
145	689	4034
146	696	4040
147	701	4036
148	707	4043
149	712	4039
150	717	4033
151	723	4038
152	729	4035
153	735	4039
154	740	4035
155	744	4028
156	748	4019
157	752	4011
158	757	4007
159	762	4002
160	766	3993
161	770	3987
162	775	3981
163	779	3975
164	784	3968
165	789	3965
166	794	3960
167	798	3952
168	804	3955
169	808	3949
170	813	3945
171	818	3942
172	823	3937
173	829	3938
174	834	3933
175	840	3936
176	845	3930
177	852	3935
178	856	3930
179	861	3922
180	865	3916
181	870	3911
182	874	3906
183	879	3900
184	884	3898
185	889	3891
186	892	3878
