gender,score
M,50
F ,84
M,51
M,38
F ,61
F ,94
M,71
F ,76
F ,62
M,79
M,58
F ,94
F ,46
M,90
F ,60
M,61
M,92
M,41
F ,43
F ,61
F ,65
F ,72
F ,84
M,84
M,33
M,80
M,33
F ,49
F ,74
M,60
F ,63
F ,61
M,79
F ,32
F ,85
F ,64
F ,61
M,60
F ,78
M,54
F ,54
M,72
F ,58
F ,18
F ,60
M,89
M,79
F ,76
M,77
F ,65
F ,46
F ,82
F ,65
F ,31
M,31
M,36
F ,28
F ,40
M,14
M,38
M,42
M,64
M,32
M,28
M,45
M,24
F,34
F,58
M,30
F,42
F,61
F,88
M,81
M,55
F,61
M,62
F,45
F,31
F,74
M,54
F,75
M,53
M,35
F,32
F,76
M,79
M,81
M,71
F,89
F,47
F,85
F,42
M,79
M,73
M,58
F,63
M,61
F,58
M,75
F,78
F,67
F,78
M,63
M,74
F,34
M,47
M,28
M,71
F,26
M,56
M,45
M,54
M,68
M,44
F,47
F,64
F,35
M,72
F,60
F,64
M,74
F,51
M,56
M,74
F,71
F,55
M,44
F,61
F,58
M,88
F,77
M,50
M,8
F,61
M,82
F,51
M,61
F,24
F,47
M,67
M,83
F,57
F,63
F,59
F,52
