title,location,price,agent
Commercial Land,  The Hub Karen,255000000,crystal-valuers-ltd
3 Bedroom Townhouse,  Kiambu Road,35250000,ams-properties-limited
2 Bedroom Flat & Apartment,  Kindaruma Road,6600000,premium-properties
4 Bedroom Flat & Apartment,  Lavington,34000000,bright-homes-management
4 Bedroom Townhouse,  Runda,27450000,palmier-properties-limited
5 Bedroom Townhouse,  Lavington Estate,63000000,ace-realtors-limited
3 Bedroom Flat & Apartment,  Kitisuru,10500000,palmier-properties-limited
Studio,  Musindi Road,5100000,signature-africa
4 Bedroom Townhouse,  Lavington,60000000,bright-homes-management
3 Bedroom Flat & Apartment,  Kileleshwa,17000000,prince-classic-homes
4 Bedroom House,  Westlands,75000000,stay-homes-golf-properties-ltd
5 Bedroom Townhouse,  Othaya Road,70000000,gna-real-estate
4 Bedroom House,  Runda Paradise,25000000,royani-properties-limited
7 Bedroom House,  Runda,180000000,jubilee-real-estate
5 Bedroom Townhouse,  James Gichuru ,65000000,rashford-properties
5 Bedroom Townhouse,  Lavington,65000000,urban-green-realty-limited
2 Bedroom Flat & Apartment,  Fourways Junction Estate,8700000,royani-properties-limited
2 Bedroom Flat & Apartment,  Lavington,13000000,gna-real-estate
2 Bedroom Flat & Apartment,  Dennis Pritt Road,8500000,yellow-market
4 Bedroom Flat & Apartment,  Walk To Valley Arcade,21000000,yellow-market
3 Bedroom Flat & Apartment,  Rhapta Road,34000000,fit-property
Shop,  Runda,30000000,nairobi-property
2 Bedroom Flat & Apartment,  Kahawa Wendani Opposite Kahawa Barracks,6500000,royani-properties-limited
5 Bedroom House,  Mirema,24000000,excellent-choice-investment-limited
3 Bedroom Flat & Apartment,  Muringa Road,16500000,rashford-properties
2 Bedroom Flat & Apartment,  South B Shopping Centre,8000000,urban-green-realty-limited
3 Bedroom Flat & Apartment,  Kilimani,15000000,lizmor-properties
Studio,  Kindaruma Rd ,3800000,sky-limits-ventures
2 Bedroom Flat & Apartment,  South C,8000000,miles_realty_consult_ltd
3 Bedroom Flat & Apartment,  Lavington,17000000,ace-realtors-limited
4 Bedroom Flat & Apartment,  Othaya Road,21500000,the_property_cloud
3 Bedroom Flat & Apartment,  Laikipia Road,12500000,balis-properties
3 Bedroom Flat & Apartment,  Kileleshwa,21500000,balis-properties
3 Bedroom Flat & Apartment,  Othaya Road,18000000,waga-holdings-limited
3 Bedroom Flat & Apartment,  Lavington,12000000,balis-properties
3 Bedroom Flat & Apartment,  Kileleshwa Near The Bypass,24000000,waga-holdings-limited
4 Bedroom Flat & Apartment,  Othaya Road Kileleshwa,20500000,premium-properties
4 Bedroom Flat & Apartment,  Riverside Drive,25000000,the_property_cloud
3 Bedroom Flat & Apartment,  Kilimani,16500000,the_property_cloud
2 Bedroom Flat & Apartment,  Kilimani,13000000,nairobi-property
5 Bedroom House,  Loresho Ridge ,180000000,dunhill-consulting-limited
2 Bedroom Flat & Apartment,  Muringa Road,9800000,premium-properties
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,19800000,balis-properties
3 Bedroom Flat & Apartment,  Kilungu Road,13000000,the_property_cloud
3 Bedroom Flat & Apartment,  Kindaruma Road,14650000,premium-properties
3 Bedroom Flat & Apartment,  Denis Pritt,10200000,the_property_cloud
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,14000000,the_property_cloud
Studio,  Dennis Pritt,3500000,the_property_cloud
3 Bedroom Flat & Apartment,  Rhapta Road,26500000,prime-lands
3 Bedroom Flat & Apartment,  Laikipia Road,12000000,commercial-property-kenya
3 Bedroom Flat & Apartment,  Loresho Ridge,17500000,prime-lands
3 Bedroom Flat & Apartment,  Argwings Kodhek Road,27000000,citiscape-valuers-and-estate-agents-ltd
3 Bedroom Flat & Apartment,  Waiyaki Way,13000000,citiscape-valuers-and-estate-agents-ltd
3 Bedroom Flat & Apartment,  Lavington,17000000,rashford-properties
3 Bedroom Flat & Apartment,  Valley Arcade,16000000,sir-francis-marketingconsultants-ltd
2 Bedroom Flat & Apartment,  Junction Mall,9800000,commercial-property-kenya
2 Bedroom Flat & Apartment,  Othaya Road,14000000,commercial-property-kenya
3 Bedroom Flat & Apartment,  General Mathenge,26500000,prime-lands
3 Bedroom Flat & Apartment,  Lavington,17000000,nairobi-property
3 Bedroom Flat & Apartment,  Valley Arcade,17000000,arkbridge-properties-limited
Flat & Apartment,  4Th Parklands Avenue,8000000,primofort-investment
Flat & Apartment,  Kibichiku,2300000,the-epic-properties
4 Bedroom Flat & Apartment,  Suswa Road,22500000,coralinternational-ltd
4 Bedroom Flat & Apartment,  Junction Mall,15450000,commercial-property-kenya
2 Bedroom Flat & Apartment,  Laikipia Road,8500000,premium-properties
3 Bedroom Flat & Apartment,  Argwings Kodhek,13000000,commercial-property-kenya
2 Bedroom Flat & Apartment,  Kileleshwa,12000000,ace-realtors-limited
4 Bedroom Flat & Apartment,  Kilimani,16500000,zuri-homes
3 Bedroom Flat & Apartment,  Kilimani,10500000,lizmor-properties
3 Bedroom Flat & Apartment,  Kileleshwa Near Valley Arcade 17 04 10,17000000,ace-realtors-limited
3 Bedroom Flat & Apartment,  Kileleshwa,12000000,balis-properties
2 Bedroom Flat & Apartment,  Ngong Road,12500000,commercial-property-kenya
3 Bedroom Flat & Apartment,  Othaya Road,17000000,rashford-properties
Warehouse,  Mombasa Road,56000000,dunhill-consulting-limited
3 Bedroom Flat & Apartment,  Parklands,52000000,mindas-investments-properties
Commercial Property,  Kangundo Road,265000000,pam-golding-properties
5 Bedroom House,  Lavington ,75000000,stay-homes-golf-properties-ltd
3 Bedroom Flat & Apartment,  Westlands Area,36000000,fapcl-group
5 Bedroom House,  Ridgeways,90000000,lizmor-properties
