title,location,price
Flat & Apartment,  Kibichiku,2300000
Commercial Land,  The Hub Karen,255000000
2 Bedroom Flat & Apartment,  Laikipia Road,8500000
3 Bedroom Flat & Apartment,  Dennis Pritt,10000000
2 Bedroom Flat & Apartment,  Lavington,16500000
2 Bedroom Flat & Apartment,  Westlands Area,19400000
2 Bedroom Flat & Apartment,  Parklands,15000000
3 Bedroom Flat & Apartment,  Parklands,38000000
3 Bedroom Flat & Apartment,  Kileleshwa,17000000
3 Bedroom Flat & Apartment,  Kileleshwa,12600000
3 Bedroom Flat & Apartment,  Kilimani,11900000
4 Bedroom Townhouse,  Lavington,80000000
5 Bedroom House,  Lavington,45000000
4 Bedroom Townhouse,  Parklands,24950000
4 Bedroom Townhouse,  Karen,75000000
2 Bedroom Flat & Apartment,  Mombasa Road,5600000
3 Bedroom Flat & Apartment,  Mlolongo,8600000
Flat & Apartment,  Kilimani Near Yaya Centre,9000000
5 Bedroom Townhouse,  Eliud Mathu,200000000
2 Bedroom Flat & Apartment,  Off Gitanga Road ,13000000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,14000000
3 Bedroom Flat & Apartment,  Elgeiyo Marakwet-Muringa,16500000
4 Bedroom Flat & Apartment,  Othaya Rd,26000000
5 Bedroom Townhouse,  Lavington,60000000
4 Bedroom House,  Magnolia,78000000
3 Bedroom Flat & Apartment,  Kileleshwa,12000000
Flat & Apartment,  Oloitoktok Road,3500000
3 Bedroom Flat & Apartment,  Westlands,24000000
5 Bedroom Townhouse,  Lavington Estate,67000000
3 Bedroom Flat & Apartment,  Simba Villa,9000000
4 Bedroom House,  Old Muthaiga,280000000
Flat & Apartment,  Kilimani,9800000
2 Bedroom Flat & Apartment,  Kileleshwa,11600000
3 Bedroom House,  Kitusuru ,11000000
3 Bedroom Flat & Apartment,  Vihiga Road,20000000
7 Bedroom House,  Runda Gardens,110000000
3 Bedroom Flat & Apartment,  School Lane,24500000
3 Bedroom Flat & Apartment,  Kilimani,11800000
2 Bedroom Flat & Apartment,  Lavington,11000000
3 Bedroom Flat & Apartment,  Westlands,17000000
5 Bedroom Townhouse,  Mpaka Road ,45500000
2 Bedroom Flat & Apartment,  Laikipia Road,8500000
3 Bedroom Flat & Apartment,  Kilimani,16000000
4 Bedroom Townhouse,  Kiambu Road,36000000
4 Bedroom House,  Karen,110000000
2 Bedroom Flat & Apartment,  Kiambu Road,8000000
2 Bedroom Flat & Apartment,  Nyari,240000000
Studio,  Musindi Road,3500000
4 Bedroom Townhouse,  Karen,78000000
5 Bedroom House,  Thigiri,140000000
2 Bedroom Flat & Apartment,  Kilimani,17000000
2 Bedroom Flat & Apartment,  Kilimani,18900000
2 Bedroom Flat & Apartment,  Kileleshwa,14000000
3 Bedroom Flat & Apartment,  Wood Avenue,13000000
3 Bedroom Flat & Apartment,  Langata Near Southern Bypass,7500000
2 Bedroom Flat & Apartment,  Lavington,13000000
2 Bedroom Flat & Apartment,  Fourways Junction Estate,8700000
3 Bedroom Flat & Apartment,  Parklands,14000000
3 Bedroom Flat & Apartment,  Parklands Estate,28000000
Flat & Apartment,  Marcus Garvey Road,7000000
Residential Land,  Njumbi Rd,185000000
Land,  Karen,285000000
2 Bedroom Flat & Apartment,  Dennis Pritt Road,8500000
5 Bedroom Townhouse,  Karen,100000000
3 Bedroom Flat & Apartment,  Parklands,18000000
4 Bedroom Flat & Apartment,  General Mathenge,52000000
3 Bedroom Flat & Apartment,  Kitisuru,10500000
5 Bedroom Townhouse,  Marist Lane ,85000000
2 Bedroom Flat & Apartment,  Kilimani,16500000
2 Bedroom Flat & Apartment,  Kindaruma Road,6600000
4 Bedroom Townhouse,  Lavington,60000000
3 Bedroom Flat & Apartment,  Othaya Road,18000000
3 Bedroom Flat & Apartment,  Kilimani,15000000
3 Bedroom Flat & Apartment,  Valley Arcade,17000000
2 Bedroom Flat & Apartment,  Othaya Road,14000000
2 Bedroom Flat & Apartment,  Mogotio Road,13000000
2 Bedroom Flat & Apartment,  South C,8000000
3 Bedroom Flat & Apartment,  Waiyaki Way,13000000
3 Bedroom Flat & Apartment,  Rhapta Road,26500000
3 Bedroom Flat & Apartment,  Loresho Ridge,17500000
4 Bedroom Flat & Apartment,  Kileleshwa,21500000
4 Bedroom Townhouse,  Kiambu Road,18500000
3 Bedroom Flat & Apartment,  Off Riverside Drive,43000000
4 Bedroom Flat & Apartment,  Riverside Drive,25000000
3 Bedroom Flat & Apartment,  Argwings Kodhek,13000000
2 Bedroom Flat & Apartment,  Junction Mall,9800000
3 Bedroom Flat & Apartment,  Denis Pritt,10200000
3 Bedroom Flat & Apartment,  Kilimani,15000000
3 Bedroom Flat & Apartment,  Kilimani,16500000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,19800000
2 Bedroom Flat & Apartment,  Kilimani,13000000
3 Bedroom Flat & Apartment,  Wood Avenue,11100000
4 Bedroom Flat & Apartment,  Junction Mall,15450000
